dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,Mmm,quarter,fiscal_year,district
20_2,2021-03-01,2032,39405081,2075,38401196,Mar,Q4,2020,Jagtial
15_3,2021-03-01,1580,31719544,1620,31749674,Mar,Q4,2020,Vikarabad
20_4,2021-03-01,2522,53764905,2393,52096800,Mar,Q4,2020,Peddapalli
17_3,2021-03-01,3369,44438539,3446,42040655,Mar,Q4,2020,Siddipet
20_1,2021-03-01,3832,88077953,3890,91217145,Mar,Q4,2020,Karimnagar
21_6,2021-03-01,935,12748046,946,12633493,Mar,Q4,2020,Mulugu
14_4,2021-03-01,2299,25221982,2422,25002780,Mar,Q4,2020,Wanaparthy
19_2,2021-03-01,1561,21560244,1825,25447309,Mar,Q4,2020,Nirmal
23_2,2021-03-01,3564,89918145,3756,93771841,Mar,Q4,2020,Suryapet
21_5,2021-03-01,3089,39702418,3140,42205319,Mar,Q4,2020,Mahabubabad
19_1,2021-03-01,1517,24666605,1550,31751084,Mar,Q4,2020,Adilabad
23_3,2021-03-01,7395,123865951,7713,118387423,Mar,Q4,2020,Yadadri Bhuvanagiri
21_1,2021-03-01,6207,208838865,6613,223960753,Mar,Q4,2020,Hanumakonda
14_2,2021-03-01,2531,26375490,2594,26484729,Mar,Q4,2020,Jogulamba Gadwal
23_3,2021-04-01,6310,92841579,6473,95086207,Apr,Q1,2021,Yadadri Bhuvanagiri
17_1,2021-04-01,898,18397464,917,19978664,Apr,Q1,2021,Medak
15_3,2021-04-01,1287,17759965,1313,16762616,Apr,Q1,2021,Vikarabad
19_2,2021-04-01,1278,17376631,1212,16376752,Apr,Q1,2021,Nirmal
15_2,2021-04-01,13208,1205452291,13570,1131522509,Apr,Q1,2021,Medchal_Malkajgiri
20_3,2021-04-01,1403,16496300,1374,16480338,Apr,Q1,2021,Rajanna Sircilla
21_2,2021-04-01,891,15607625,912,13998410,Apr,Q1,2021,Warangal
19_4,2021-04-01,225,2735135,218,2751315,Apr,Q1,2021,Kumurambheem Asifabad
18_2,2021-04-01,2092,26448596,2110,25816135,Apr,Q1,2021,Kamareddy
22_2,2021-04-01,818,12796195,985,13743476,Apr,Q1,2021,Bhadradri Kothagudem
22_1,2021-04-01,4575,119253411,5064,126183886,Apr,Q1,2021,Khammam
